Shoe,category,HowTo,EnergySaving
Aluminium foil,Aluminium foil,"Foil is made from the same material as soda cans (aluminum), but since it’s most often contaminated with food waste or combined with plastic (like with yogurt tops), there’s no guarantee you can recycle it with your aluminum cans. You want to make sure that aluminum foil is as clean as possible before recycling. While burns and holes won’t affect the recycling market, you’ll want to remove any meats or sauces from the foil. If you’re recycling aluminum foil that you bought and used for storage, separate the foil from the paperboard box and corrugated tube before recycling. If foil is combined with other materials (such as in drink boxes, candy wrappers and yogurt tops) and can’t be separated, you’ll want to throw it away. Foil mixed with other materials is considered recycling contamination. Combine all sheets of foil into one ball. This will keep the material easily separated from other products, and also prevent it from blowing away (aluminum foil is a very light material). Find a drop-off location for aluminum foil near you using our Recycling Locator. While most cities will accept aluminum cans at the curb, you’ll want to verify acceptance of aluminum foil. The risks of contamination will often make it undesirable for local recyclers.",80%
Other carton,Carton,"Cartons like those used for milk, juice, soy or grain milk and soup are recyclable. Made from mostly paper, the high-quality materials used in cartons make them very desirable for remanufacturing into new products. Put your food and beverage cartons in the bin. It might seem like a small action, but every recycled item helps to preserve our planet's natural resources. When recycled, cartons can go on to be transformed into new paper products as well as eco-friendly building materials rather than end up in a landfill. Milk, soup, juice, wine and broth are just some of the products packaged in cartons that you’ll find in your nearby grocery store — and they're all recyclable!. 1: Empty your carton of any remaining food or liquid. 2: Toss your carton – without flattening it – into the recycling bin along with all your other recyclables such as cans, plastic and bottles. Keep the cap on. If you have a straw, push it back into the carton before recycling. 3:  Take 'em to the curb. On your designated recycling pick-up day, take your recycling to the curb to be collected.",35%
Glass bottle,Bottle,"Most large cities accept glass in their curbside recycling programs, but you’ll want to verify acceptance locally. Due to the costs of transportation, risks of breakage, and low commodity value, some communities choose not to accept glass.. Glass bottles are frequently used to package liquids like soda, juice, beer, and wine, and are accepted in most curbside recycling programs. Glass bottles represent the quickest recycled-packaging process, as a bottle can be recycled and back on store shelves in 30 days. 1:  Do your best to not break glass bottles, as there is no market for recycling broken glass. 2:  You can leave the label/foil on, but many recyclers will ask you to separate the metal caps. This is partly to ensure that all liquids are removed. Remove all wine corks. 3: Don’t worry about non-liquids in the bottle, such as a lime wedge in a beer bottle or bits of cork in a wine bottle. Remove any non-containers from your glass recycling, such as Pyrex, glassware, windows, and mirrors. These glass products can’t be recycled with containers.",45%
Paper cup,Cup,"It’s very rare that you will find a curbside recycling program that accepts paper cups, even if they are lined with bio-plastic. Some cities in California will accept paper cups with food waste, but you’ll want to check first.. Your classic to-go coffee or soda cup is designed for one-time use, but unfortunately recycling at this point is basically nonexistent in the U.S. That’s because all cups are lined with a thin coating of plastic that can’t be easily separated during the recycling process. The most innovation on paper cup disposal has come in the field of composting, and that is still limited at best. 1: Unfortunately, odds are pretty good that you’ll have to throw the paper cup away. However, there is better news for its accessories. 2: You can remove the paper sleeve for coffee cups and recycle that with corrugated cardboard. The plastic lid should be recyclable if your local program accepts #1-7 plastics in non-bottle form. The straw or stirrer should be thrown away. 3: If you have a backyard compost bin and you purchase bio-based paper cups, you can try to compost them. The paper will break down, but you may have difficulty with the plastic lining.",25%
Styrofoam piece,Styrofoam piece,"Polystyrene, commonly known as Styrofoam, is recyclable in some parts of the country, yet most Materials Recovery Facilities still do not accept it as part of their recycling program. ... Please refrain from putting any form of Styrofoam in your recycling bin. Styrofoam is the household name for EPS, a kind of plastic. To throw away Styrofoam, remove any recyclable pieces, then break down sheets or blocks into smaller bits you can put in your regular trash can. To recycle, make sure you have plain white Styrofoam marked with the triangular recycling symbol. Contact local agencies to see if they’ll take it. If recycling isn’t an option, reuse your Styrofoam or repurpose it for creative DIY projects. 1: Remove any recyclable parts attached to the Styrofoam. 2: Break the Styrofoam into smaller pieces for ease. If you have large foam blocks or sheets, cut them into smaller cubes. They'll fit easily into a trash bag, and you might be able to fit more in a single bag. 3: Contact your local recycling program for information on Styrofoam drop-offs.",12%
Pop tab,Pop tab,"Pop Tab Collection Program. Little things can make a big difference. You can help support the Ronald McDonald House of Durham in North Carolina by collecting the little tabs you pull to open soda, soup or other aluminum cans. The funds generated from recycling these aluminum gems help offset the House's expenses.Start collecting! You can collect the tabs in any container, like milk cartons or Pringles cans. Contact us and we’ll send you special labels for your container. Although the whole aluminum can is valuable, the tab is cleaner and smaller, making it easier to collect in large quantities than whole cans. The tab of a standard soda can is made of high quality, high-grade aluminum. By itself, it doesn’t mean much, but when you pull together, pop-tabs add up and become a valuable donation. It's All Aluminum
There are rumors that the pull tabs on cans are the only part of the can made from pure aluminum. According to Alcoa, aluminum from recycled cans, tabs included, is identical to aluminum smelted from virgin ore. The can itself is every bit as valuable and recyclable as the tab.",74%
Normal paper,Paper,"The most important thing for recycling paper is that there is NO contamination in the recycling bin. This means that bottles and cans need to be empty of all liquids. Other food containers like yogurt tubs and pasta sauce jars should be rinsed. Any food, soda, beer, etc. that gets on the paper renders it unrecyclable and can ruin and entire bale.  After you put paper in your recycling bin, it’s taken to a recycling center where contaminants such as plastic, glass or trash are removed. If your local recycling program accepts mixed paper, it will most likely accept sticky notes. Paper mills that process mixed paper are able to remove adhesives. To be on the safe side, check with your local program to make sure sticky notes aren’t a problem.",64%
Plastic lid,Lid,"For plastic bottles, you need to ask your local recycling program whether caps are accepted before trying to recycle them with the bottle. Some will ask you to leave them on, some accept caps but want them separated, and some will ask you to throw them away. Do you take the cap off your plastic bottles because you think that it will make it easier for it to be recycled once it reaches the recycling plant? Well you can start leaving the lids on because it’s not true. The plastic bottles, complete with lids, are ground up and put through a water bath. As the lids are usually made from high-density polyethylene (HDPE) and polypropylene (PP), they tend to float, whereas the plastic bottles, made from PET, are heavier and they will sink. This makes it easy for the different types of material to be separated so they can be recovered and turned into new items. Sadly, many people assume that the lids can’t be recycled, and they throw them in with their general waste. This can often mean that they end up in landfill, or even worse, in our oceans and on our beaches, where they can do untold damage. Plastic bottle lids are one of the most common items of litter found on beaches. Plastic takes many years to degrade, if indeed it does at all, and in the meantime, bottle lids and caps can become choking hazards for wildlife, especially fish and birds.",30%
Food Can,Can,"Most cities will accept metal cans (aluminum and steel) in the curbside recycling program. You’ll want to verify acceptance through your program as well as any preparation instructions, such as whether to rinse or crush cans. Empty and rinse out steel food cans before recycling them. Clean out an old food can and use it to store pencils, pens, or paintbrushes. Steel food cans can be recycled over and over again because they don’t lose any of their quality or functionality during the recycling process. If it can mold or get stinky, rinse it before you put it in the recycling. Beverage containers (soda bottles, beer cans/bottles) do not need to be rinsed. Only place plastics #1 & #2 in the recycling.  If it’s plastic and you can squish or crumple it, toss it in the trash. No plastic film products can be recycled curbside. If it’s contaminated with food or sticky, toss it in the trash.",85%
Drink carton,Carton,"Cartons are a composite packaging material - in other words they are not made from paper alone but comprise of about 75% paper, 20% plastic (polyethylene) and 5% aluminium foil (for long-life products). 1: Drinks cartons are sorted automatically or by hand in a sorting center. 2: Just like waste paper, drinks cartons are submerged in water, allowing the paper fibers to be released from the plastic and aluminum layers. 3: The released cardboard fibers are then further recycled in the same way as regular paper or cardboard; The plastic can be recycled or used as a source of energy for cement ovens, and the aluminum can be recycled for use in other products. The cardboard fibers from drinks cartons can be used in the production of household paper (kitchen roll, paper tissues, and toilet paper), cardboard boxes, paper bags, and envelopes. Plastics can also be used as a source of energy in the drying process in papermaking. Aluminum can serve as a binding agent in cement or can be recovered as a raw material.",35%
Disposable food container,Plastic container,"1: Make sure all items are rinsed and clean before going into the recycling bin. Absolutely no food, liquids, or other contamination allowed. Yes, that means that the bottom of your pizza box needs to go in the compost (or the trash). You can, however, tear-off any non-greasy parts for disposable in the recycling bin. 2:  Separate glass jars from their metal lids. 3: Inquire about how to recycle the lids of plastic bottles. In bigger, mixed systems, it’s often preferred to keep them together, but many smaller programs only want the bottle, so the lid should go in the trash. 4: Keep aluminum foil, plastic utensils, Styrofoam containers, plastic wrap, or plastic wrappers (including baggies and bags) OUT of the recycling bin. Those items need to go into the trash unless your recycling program specifically gives the green light. 5: If you must collect your recycling in a plastic bag, use a clear or see-through blue bag. 6: Compostable plastics are great but they don’t belong in a recycling bin (and not even in a home composting bin – only industrial or commercial composting options can take these items).",55%
Metal bottle cap,Bottle cap,"The top can be recycled as long as it’s placed in the recycling bin separate from the jar. Examples: tops from pasta sauce jars, jam jars, Ball canning jars (rings and discs).  Small metal bottle caps can no longer be placed in your recycling bin loose. They fall through the spaces in between conveyor belts at the Central Landfill’s recycling facility and cause mechanical problems. However, these bottle caps can be recycled. Place these bottle caps in an aluminum soup can until it is half full. Then, crimp the top of the can so that the bottle caps are trapped. Toss the crimped can in the recycling bin. Examples: beer bottle caps, soda bottle caps, Snapple bottle caps, wine bottle caps and olive oil bottle caps. 1: Remove metal lids from jelly, mustard, and other jars. 2: Remove aluminum twist-off tops from wine, olive oil, and sparkling water bottles. 3: If you’re inclined to press the ridged metal caps back on beer and soda bottles, don’t. After dropping empty, lid- and cap-free glass containers into your recycling bin, what do you do with the metal caps and lids? Metal is definitely recyclable. But lids and caps are often undesirable in mixed recycling — with some exceptions — because most equipment doesn’t efficiently sort and separate them. If your curbside provider doesn’t accept metal lids and caps at all, your next bet is to find a nearby metal recycling facility.  And to avoid wasting a trip, call to confirm they’ll accept your items before you make the delivery.",30%
Single-use carrier bag,Plastic bag & wrapper,"Most plastic bags are made from high-density polyethylene (#2 plastic), but the thinner-material bags (such as produce bags) are made from low-density polyethylene (#4 plastic). The recycling collection supply is abundant, mostly through collection bins at grocery stores. 1: Remove anything inside the bags, such as receipts, stickers, or crumbs. All these items will contaminate your bag load. 2: Keep a bag collection bin in your house, such as one big garbage bag for all bags. Since they compact easily, you should be able to fit 50 to 100 plastic bags in one garbage bag. 3: Make sure any bags you are recycling have a #2 or #4 plastic symbol on them. If not, you can’t be sure what plastic resin the bag is made from, so you’ll want to reuse it instead, before eventually throwing it away. Plastic bag recycling involves chipping the bags into pellets. While pellets can then be reprocessed into new bags, they will most likely be shipped to a company like Trex to be manufactured into plastic lumber. Believe it or not, black plastic bags are harder to recycle and sometimes omitted from store collection bins. This is because the plastic is dyed and produces dark pellets, which limits the reprocessing options.",84%
Crisp packet,Plastic bag & wrapper,"Crisp packets are not currently recyclable in home recycling collections and should be either recycled via Terracycle's Crisp Packet Recycling Scheme or put in your rubbish bin.  1. Drop off your crisp packets at your nearest public drop-off location. Find your nearest public drop-off location on the interactive map above and drop off your crisp packets. 2: Set up a public drop-off location. If you don’t have a public drop-off location nearby, you could set one up somewhere that’s accessible to members of the public, such as a community centre, shop or other public space (please ensure you have permission from whoever administers the site). But because we are always looking to minimise the environmental impact of our schemes, you need to be confident you can collect a minimum of 8kg of crisp packets every six months – that’s around 1,600 packets. This will help reduce the number of trips needed by vans picking up shipments. Please make sure your packets are completely empty before dropping them off or sending your shipments.

",84%
Meal carton,carton,"Takeaway boxes (plastic and cardboard) cannot be recycled using your local council’s kerbside recycling bin, bag or box or your local Household Waste Recycling Centre.
Takeaway boxes (plastic and cardboard) can be disposed of in your local council’s kerbside residual bin.
CARDBOARD FACTS:
Most clean cardboard is recyclable.
Look out for stains such as grease, food, paint, dirt, etc - please put this contaminated cardboard in your normal residual waste bin.
Remember to flatten boxes and remove all packing tape, polystyrene and plastic inserts from cardboard packaging before recycling.",35%
Plastic utensils,Plastic utensils,"Truth be told, plastic plates and silverware (labeled with #6 underneath as their resin identification code) are recyclable, and many curbside recycling programs accept them along with other types of plastic, but many don’t, and that’s because it’s simply not cost-effective. Plastic utensils can be real time savers when it comes to cleanup--just throw them away. But if you're environmentally conscious and wonder if you can recycle those plastic spoons and forks, the answer is yes and no. Wash and reuse plastic utensils rather than throwing them away. Other reuses for plastic utensils include using them for craft projects, plant supports for new seedlings, toys (for kids playing ""restaurant""), kids' lunchboxes (make sure they bring the home to wash and reuse) and cutting knives for clay. Biodegradable utensils are made from corn and degrade after about 100 days in a landfill. Find these utensils from companies who manufacture environmentally safe products.",12%
Other plastic bottle,Bottle,"Plastic bottles make life so much easier. They're lightweight and easy to hold, and they're also strong and hard to break. A plastic bottle is the best way to contain and carry many kinds of liquid, from water and soft drinks to oil to household cleaners and baby formula. Recycling takes many steps. First, the bottles have to be collected from homes, businesses, and other sites. Then, every plastic bottle must be separated from metal, glass, and other things that people put into recycle bins. The plastic bottles are also sorted by the type of plastic they're made from. Then, the bottles are cleaned remove any food, liquid, or chemical residue.
Next, all of the bottles are ground up and shredded into flakes. Finally, they are melted down and formed into small pellets, each about the size of a grain of rice. The pellets are bundled up and sold to companies that can be melt them and make them into many different products. Just think of all of the plastic toys, tools, electronic gadgets, and other plastic things in your own home. Many of these are made with recycled plastic.  5 best to resue and recycle plastic bottle are 1: Create Recycled Plastic Bottle Supply CupsCreate Recycled Plastic Bottle Supply Cups. 2: Reuse Coffee Creamer Containers for Snack Storage 3: Start an Herb Garden With Empty 2-Liter Bottles 4: Create a Piggy Bank Made From a Reused Plastic Bottle. 5: Turn Plastic Bottle Trash Into a Trash Can.",45%
Corrugated carton,Carton,"Cardboard can be recycled five to seven times and is a generally straightforward and easy material to recycle. In 2014, 96 percent of Americans had access to community curbside and/or drop-off recycling for cardboard boxes. Tips 1: Remove any box packing materials such as packing peanuts or Styrofoam. 2: You don’t need to worry about removing any tape or labels from your cardboard boxes. They will be removed in the recycling process. 3: If your box is dented, bent, ripped or damaged, that’s okay. It can still be recycled as long as it is dry and clean. 4: Keep your boxes dry. If your boxes get wet allow them to dry before recycling them. 5: Keep your boxes clean and away from food products such as oil and grease! A greasy or heavily food-stained box cannot be recycled. 6: Flatten your cardboard boxes or rip them up before placing them in your recycling bin or cart. This will save space.It is important to note that there are two types of cardboard: corrugated cardboard and paperboard. Paperboard is the thinner of the two and is used to make things like cereal boxes, shoe boxes, juice containers and milk cartons. Corrugated cardboard is the stronger, thicker of the two and is primarily used to make packaging boxes and even furniture. ALL cardboard is recyclable, but when it comes to your juice containers, pizza boxes and milk cartons, separate rules may apply, so check your local municipality for rules and tips.",35%
Paper bag,Paper bag,"Plastic bags have their problems but so do paper bags. Although paper bags do degrade much faster than plastic bags, it takes nearly double the resources to create a paper bag than one made out of plastic. That’s why reusable products are better than paper or plastic bags. Pretty much all paper carrier bags can be recycled because they are, well, made of paper. This can either be bio-degraded or can be pulped and turned into new paper carrier bags. Yes, these bags are extremely environmentally friendly. Paper can be easily recycled, so long as it is free from things such as plastic coatings, ink and other contaminants. If it is unadulterated from its original form, then they can usually be recycled. Such bags can be recycled in many ways. ‘Recycling’ of paper covers many things. From being pulped and turned into new bags to shredding for use as filler in other packaging products. It can also involve being turned into cardboard, or it can even mean being composted or bio-degraded. To recycle paper containers into paper, the bags must be shredded, boiled and turned back into paper pulp. This can then be pressed to remove water and to bond it together and rolled out into new sheets of paper. This can then be used to make new bags and other paper goods – or used more thickly to make cardboard. Bags that feature handles made of a material other than that of the bag can also be problematic to recycle. Although, so long as they are bio-degradable handles made of card or string – attached with organic glue – these bags can be composted. The other way to recycle paper sacks is to reuse them. Grocery shopping bags can be used more than once, assuming they haven’t been torn or damaged or been spilt on. Other forms of paper sacks and bags used in industry settings can also be reused – not least as rubbish bags.Ultimately, paper containers can also be used to collect organic waste waiting to be added to the compost bin or taken away by the local authorities to be recycled.",64%
Garbage bag,Plastic bag & wrapper,"Not only does the bag not get recycled,  It is also possible that the recyclables in the bag do not get recycled. If recyclables are put in garbage bags in recycling bins or toters, the recyclables may be perceived as garbage and be landfilled rather than recycled. In addition, putting your recyclables in plastic bags, requires extra man power at a recycling center as the garbage bag requires the workers at the transfer station to open the bags and then separate the recyclables. This increases both the cost of our recycling system and also the possibility that the recyclables will be treated as garbage. Many kinds of plastic bags are recyclable, but not in the bins or toters that are in our local villages’ homes, business districts, or schools. Plastic bags may be recycled at local grocery stores all year round. Please make an effort to reduce your use of plastic bags as much as possible by using reusable grocery and shopping bags but and when you do recycle plastic bags, make sure to do so at your local market where they are properly recycled.",84%
Rope & strings,Rope & strings,"They are accepted at household hazardous waste (HHW) collections. Contact your local recycling coordinator or Department of Public Works for more information. Twine, string or rope made of organic fibres like hemp, jute, or sisal are compostable and can be placed in your Green Bin. If the rope or string is made of nylon or polyester, and is no longer usable, please dispose of it in the garbage.",10%
Foam food container,Plastic Container,"ou can't recycle foam food containers. Basically, it’s because nobody wants to buy recycled foam food containers. At least not at a price that makes financial sense for recycling companies. Recycling may have many environmental benefits, but it’s driven by economics. You can make big bucks selling recycled plastics, metals and papers. Expanded polystyrene foam, not so much.Recyclers condense recyclable materials into bales that are then sold by weight. The polystyrene foam used in these items is about 95 percent air, which makes transporting it very expensive. “The economics are difficult and even the environmental impacts of transporting a truckload of lightweight polystyrene could be questionable,” said Nicole Fornof, communications and municipal relations manager for Waste Management, the company that runs Monroe County's curbside recycling program.",55%
Aerosol,Can,"Around 60% of aerosols are made from tinplated steel and approx 40% are made from aluminium. Both of these metals are recyclable. Aerosols also contain some small plastic and rubber components including the lid, valve and dip tube which are extracted in the recycling process. 1: Around 60% of aerosols are made from tinplated steel and approx 40% are made from aluminium. Both of these metals are recyclable. Aerosols also contain some small plastic and rubber components including the lid, valve and dip tube which are extracted in the recycling process. 2: Do not pierce, crush or flatten aerosol cans . 3: Detach any loose or easily removable parts, such as the lid, and dispose of them with the rest of your recycling . Aerosol cans are used to store everything from food to bathroom products to paint. While the can itself has the same value as other metal cans, the pressurized air inside and potentially hazardous contents make recycling a bit more complicated. Tips 1: Do your best to use up all the product inside. If the can still has product inside, even if it’s nonhazardous product like whipped cream, your recycling program will not accept it. The easiest way to make sure it’s empty is to shake the can and listen for liquid inside, or spray until nothing comes out. 2: DO NOT puncture a hole in the can to remove any remaining product, as the can will explode and hurt you. You should also not attempt to remove the spray nozzle on top of the can. 3: Verify whether your community accepts aerosol cans with other metal cans, or whether they are classified as household hazardous waste (HHW). There are separate disposal options for each.  Find a drop-off location for aerosol cans near you using our Recycling Locator.",85%
Magazine paper,Paper,"Both books and magazines fall under the category of mixed paper, which also includes catalogs and phone books. While mixed paper has a lower commodity value (and thus a smaller recycling market) than items like newspapers, office paper and corrugated cardboard, most paper mills in the U.S. will recycle mixed paper. 1:  For magazines, you don’t need to remove anything from inside the magazine, such as staples, the cardstock ads or even perfume samples. You can also leave the cover and binding. 2: If the magazine came in a plastic bag, you’ll want to remove and recycle this separately. 3: For paperback books, you can recycle the book whole, including the binding. For hardcover books, you’ll need to remove the cover because it has non-paper components. 4: If either your books or magazines have gotten wet or the paper has turned tan or brown, they should be thrown away with your household trash, as there is no recycling market for this material. Most curbside recycling programs accept magazines and paperback books as mixed paper. Some programs specifically exclude hardcover books because of the binding, unless you remove it. You definitely want to check with your local program, though.",64%
Tissues,Paper,"Can you put tissue paper in the recycling bin? Sure, you came to work sick, just blew your nose, and the nearest bin just happens to be the office paper recycling bin. However, tissues, just like paper towels, cannot be recycled. ... Meanwhile, tissue boxes and the cardboard rolls that paper towel comes on can be recycled. echnically, Tissue Paper Has Already Been Recycled
Tissue paper is hard to recycle because it’s already been recycled: it’s made from recycled paper, so the fibers are shortened to the point where it cannot feasibly go through the recycling process again.",64%
